[berlin] 6000 crops, device=mps, epochs=96
[berlin] epoch 1/96 loss=7.4884 extract=3.1s
[berlin] epoch 2/96 loss=6.6737 extract=3.5s
[berlin] epoch 3/96 loss=6.2400 extract=3.3s
[berlin] epoch 4/96 loss=5.9186 extract=3.1s
[berlin] epoch 5/96 loss=5.7157 extract=3.1s
[berlin] epoch 6/96 loss=5.5068 extract=3.1s
[berlin] epoch 7/96 loss=5.3663 extract=3.2s
[berlin] epoch 8/96 loss=5.2420 extract=3.2s
[berlin] epoch 9/96 loss=5.0902 extract=3.1s
[berlin] epoch 10/96 loss=5.0425 extract=3.1s
[berlin] epoch 11/96 loss=4.9157 extract=3.1s
[berlin] epoch 12/96 loss=4.8184 extract=3.2s
[berlin] epoch 13/96 loss=4.7295 extract=3.1s
[berlin] epoch 14/96 loss=4.6234 extract=3.1s
[berlin] epoch 15/96 loss=4.5569 extract=3.1s
[berlin] epoch 16/96 loss=4.4825 extract=3.1s
[berlin] epoch 17/96 loss=4.4200 extract=3.1s
[berlin] epoch 18/96 loss=4.3418 extract=3.1s
[berlin] epoch 19/96 loss=4.2861 extract=3.1s
[berlin] epoch 20/96 loss=4.2011 extract=3.1s
[berlin] epoch 21/96 loss=4.1827 extract=3.1s
[berlin] epoch 22/96 loss=4.1025 extract=3.2s
[berlin] epoch 23/96 loss=4.0552 extract=3.1s
[berlin] epoch 24/96 loss=4.0164 extract=3.2s
[berlin] epoch 25/96 loss=3.9710 extract=3.2s
[berlin] epoch 26/96 loss=3.9121 extract=3.1s
[berlin] epoch 27/96 loss=3.8727 extract=3.1s
[berlin] epoch 28/96 loss=3.8184 extract=3.1s
[berlin] epoch 29/96 loss=3.7974 extract=3.2s
[berlin] epoch 30/96 loss=3.7786 extract=3.1s
[berlin] epoch 31/96 loss=3.7320 extract=3.1s
[berlin] epoch 32/96 loss=3.6888 extract=3.1s
[berlin] epoch 33/96 loss=3.6272 extract=3.1s
[berlin] epoch 34/96 loss=3.6174 extract=3.1s
[berlin] epoch 35/96 loss=3.5670 extract=3.1s
[berlin] epoch 36/96 loss=3.5574 extract=3.1s
[berlin] epoch 37/96 loss=3.5087 extract=3.1s
[berlin] epoch 38/96 loss=3.4980 extract=3.2s
[berlin] epoch 39/96 loss=3.4663 extract=3.1s
[berlin] epoch 40/96 loss=3.4527 extract=3.1s
[berlin] epoch 41/96 loss=3.4429 extract=3.1s
[berlin] epoch 42/96 loss=3.3927 extract=3.2s
[berlin] epoch 43/96 loss=3.3555 extract=3.1s
[berlin] epoch 44/96 loss=3.3269 extract=3.1s
[berlin] epoch 45/96 loss=3.2871 extract=3.1s
[berlin] epoch 46/96 loss=3.2583 extract=3.1s
[berlin] epoch 47/96 loss=3.2768 extract=3.1s
[berlin] epoch 48/96 loss=3.2158 extract=3.1s
